"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"139","Bounding Membrane Of Organelle (GO:0098588)","14/819",0.424765480238859,0.569950828321809,0,0,1.08354139761802,0.927747728095606,"SYT4;WNT5A;RHOB;TAPBP;TRDN;RAB31;DSE;AP1S2;CASQ2;PMEPA1;CD9;SLC15A3;OPTN;WLS"
"140","Aggresome (GO:0016235)","1/35",0.428603557329233,0.569950828321809,0,0,1.82883469843634,1.54943062968927,"SQSTM1"
"141","Mitochondrial Outer Membrane (GO:0005741)","3/151",0.429749020285428,0.569950828321809,0,0,1.26108194181443,1.0650516904056,"PPP2R2B;PMAIP1;TSPO"
"142","Secretory Granule Membrane (GO:0030667)","5/279",0.454251192956983,0.595513254766394,0,0,1.13518856447689,0.895782910300241,"SYT4;RAB31;CD9;CD47;CLU"
"143","Postsynaptic Specialization Membrane (GO:0099634)","1/38",0.455392488939008,0.595513254766394,0,0,1.6802942182689,1.3217120704109,"GRIK1"
"144","Keratin Filament (GO:0045095)","1/39",0.464040931823361,0.602608710076171,0,0,1.6359926715523,1.25608656872044,"KRT17"
"145","Golgi Lumen (GO:0005796)","2/100",0.472194393604549,0.604441749195791,0,0,1.26886945254292,0.952114626996749,"MMP11;WNT5A"
"146","trans-Golgi Network Membrane (GO:0032588)","2/100",0.472194393604549,0.604441749195791,0,0,1.26886945254292,0.952114626996749,"RAB31;AP1S2"
"147","Tertiary Granule (GO:0070820)","3/162",0.475149396426638,0.604441749195791,0,0,1.17317630092537,0.872990994678328,"CXCL1;CD47;CLU"
"148","Lytic Vacuole Membrane (GO:0098852)","5/287",0.478720137205158,0.604869362549761,0,0,1.10253000545554,0.81216672971537,"DAB2;AP1S2;SLC15A3;CP;CLU"
"149","Chromosome (GO:0005694)","3/164",0.483228993470384,0.606468602543368,0,0,1.15848399730981,0.842524436960352,"CDCA2;FANCD2;SMC2"
"150","Cortical Actin Cytoskeleton (GO:0030864)","1/44",0.505272166345387,0.623871360895779,0,0,1.44539299381807,0.986709164994215,"CLDN5"
"151","Euchromatin (GO:0000791)","1/44",0.505272166345387,0.623871360895779,0,0,1.44539299381807,0.986709164994215,"ID2"
"152","Organelle Outer Membrane (GO:0031968)","3/170",0.5071039938832,0.623871360895779,0,0,1.1165185552462,0.758159844526207,"PPP2R2B;PMAIP1;TSPO"
"153","Golgi Membrane (GO:0000139)","7/427",0.517370325928807,0.632341509468542,0,0,1.03564516129032,0.68248639481235,"SYT4;DSE;AP1S2;PMEPA1;OPTN;WLS;TAPBP"
"154","Heterochromatin (GO:0000792)","1/49",0.543340713927278,0.655514280673555,0,0,1.29450158227848,0.789670159458703,"SALL1"
"155","Voltage-Gated Calcium Channel Complex (GO:0005891)","1/49",0.543340713927278,0.655514280673555,0,0,1.29450158227848,0.789670159458703,"HSPA2"
"156","Multivesicular Body (GO:0005771)","1/50",0.550596521005629,0.660009932231106,0,0,1.268018599845,0.756693909656777,"LRAT"
"157","Endoplasmic reticulum-Golgi Intermediate Compartment Membrane (GO:0033116)","1/52",0.564765162520055,0.672682072555734,0,0,1.21816827997022,0.695994691885542,"TAPBP"
"158","Tertiary Granule Lumen (GO:1904724)","1/53",0.571681597834106,0.676610498702391,0,0,1.19468111002921,0.668033527538353,"CXCL1"
"159","Microvillus (GO:0005902)","1/58",0.604654424081211,0.711134448447714,0,0,1.08960692871419,0.548179267125022,"ANGPT1"
"160","Transport Vesicle Membrane (GO:0030658)","1/60",0.617123700100217,0.716783428066712,0,0,1.05256382750483,0.508057601326116,"SYT1"
"161","Ficolin-1-Rich Granule Membrane (GO:0101003)","1/60",0.617123700100217,0.716783428066712,0,0,1.05256382750483,0.508057601326116,"CLU"
"162","SCF Ubiquitin Ligase Complex (GO:0019005)","1/61",0.6232105294719,0.719384993896576,0,0,1.03496835443038,0.48940640559108,"FBXO2"
"163","Cortical Cytoskeleton (GO:0030863)","1/63",0.635096313569117,0.728607427223465,0,0,1.00148019599837,0.454650594010679,"CLDN5"
"164","Acrosomal Vesicle (GO:0001669)","1/64",0.640898292414835,0.730780370009598,0,0,0.985533453887884,0.438448562626879,"KNL1"
"165","Lysosomal Membrane (GO:0005765)","5/356",0.668431259054739,0.757555426928704,0,0,0.882642998027613,0.355547767404357,"DAB2;AP1S2;SLC15A3;CP;CLU"
"166","Recycling Endosome Membrane (GO:0055038)","1/70",0.673828954041935,0.759072375938806,0,0,0.899559713813979,0.355127264165956,"OPTN"
"167","Actin Filament (GO:0005884)","1/71",0.679016901253669,0.760336290625366,0,0,0.886663652802893,0.343235710809936,"GAS2L3"
"168","Cytoplasmic Stress Granule (GO:0010494)","1/76",0.703748412535301,0.783339006810127,0,0,0.827341772151899,0.290673588093082,"PRKAA2"
"169","Extrinsic Component Of Cytoplasmic Side Of Plasma Membrane (GO:0031234)","1/77",0.708461889088664,0.783919368399882,0,0,0.816414057295137,0.281384462599682,"ZAP70"
"170","Recycling Endosome (GO:0055037)","2/159",0.720493510070836,0.79254286107792,0,0,0.789647153978364,0.258861238599046,"MYL1;OPTN"
"171","Lipid Droplet (GO:0005811)","1/82",0.730931222719377,0.794710543141553,0,0,0.765822784810127,0.240036361628754,"RNF213"
"172","P-body (GO:0000932)","1/83",0.735213497130956,0.794710543141553,0,0,0.756444890398271,0.232678174116589,"SQSTM1"
"173","Autophagosome (GO:0005776)","1/83",0.735213497130956,0.794710543141553,0,0,0.756444890398271,0.232678174116589,"SQSTM1"
"174","cullin-RING Ubiquitin Ligase Complex (GO:0031461)","2/174",0.765441625732011,0.822629793171759,0,0,0.720228866740495,0.192518849303879,"CDC20;FBXO2"
"175","Cell Projection Membrane (GO:0031253)","1/105",0.813995843974974,0.869812701847544,0,0,0.595758276533593,0.12260706443609,"DMD"
"176","Endoplasmic Reticulum Membrane (GO:0005789)","10/801",0.820709566780668,0.87200391470446,0,0,0.777970408133851,0.153716051383344,"CYP26A1;MLANA;SCD;CDK1;CASQ2;HAS2;LRAT;APOL2;TAPBP;TRDN"
"177","Late Endosome (GO:0005770)","2/205",0.838819747247161,0.886210693419317,0,0,0.609273594495269,0.107085584539739,"CXCR4;LRAT"
"178","Cytoplasmic Side Of Plasma Membrane (GO:0009898)","1/124",0.862934922611764,0.906566463642695,0,0,0.503241741278172,0.0741858840649622,"ZAP70"
"179","Peroxisome (GO:0005777)","1/129",0.873522859519753,0.911715447861275,0,0,0.483460245253165,0.0653739680198282,"VIM"
"180","Nuclear Membrane (GO:0031965)","2/227",0.877587062112458,0.911715447861275,0,0,0.549079365079365,0.0716982961737677,"PRNP;SLC16A3"
"181","Mitochondrial Envelope (GO:0005740)","1/146",0.903786521978625,0.933746296187861,0,0,0.426407682234832,0.0431362943443018,"IFI6"
"182","Adherens Junction (GO:0005912)","1/150",0.909786029602241,0.93478015129461,0,0,0.414875541585252,0.0392247563358325,"VCL"
"183","Mitochondrial Matrix (GO:0005759)","3/355",0.922606779822104,0.939502315761647,0,0,0.524690576143602,0.0422649588629476,"KRT17;CDK1;NR3C1"
"184","Vacuolar Lumen (GO:0005775)","1/161",0.924430086097022,0.939502315761647,0,0,0.386135284810127,0.0303416822232359,"GYG1"
"185","Mitochondrial Membrane (GO:0031966)","5/540",0.932372274756593,0.942451975024231,0,0,0.573568176371915,0.0401630261391628,"PPP2R2B;IFI6;TSPO;PMAIP1;CLU"
"186","Mitochondrial Inner Membrane (GO:0005743)","2/370",0.981880050450653,0.987158975453076,0,0,0.333247066942719,0.00609379795709537,"IFI6;CLU"
"187","Organelle Inner Membrane (GO:0019866)","2/398",0.987754870193224,0.987754870193224,0,0,0.309235209235209,0.00381000015184862,"IFI6;CLU"
